Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
ArnsbergHellweg-Sauerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Aschaffenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Berlin,11,6,545,57,0,00,2,182,4,364,1,91,2,182,2,182,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Bodensee-Oberschwaben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Bonn/Rhein-Sieg,3,3,1000,78,0,00,1,333,2,667,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Braunschweig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Chemnitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Coburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Cottbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Darmstadt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
Dresden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Durchführen eines Projektes der Da', 'Durchführen einer Prozessanalyse', 'Sicherstellen der Datenqualität', 'Wirtschafts- und Sozialkunde']"
