Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,4,4,1000,72,0,00,1,250,2,500,1,250,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Arnsberg Hellweg - Sauerland,6,6,1000,82,1,167,3,500,2,333,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Aschaffenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Berlin,9,7,778,60,0,00,0,00,4,444,4,444,1,111,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bodensee-Oberschwaben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bonn / Rhein-Sieg,6,6,1000,71,0,00,0,00,5,833,1,167,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Braunschweig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremen,9,8,889,73,0,00,2,222,6,667,0,00,1,111,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Chemnitz,6,6,1000,64,0,00,0,00,2,333,4,667,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Coburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Cottbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Darmstadt,3,3,1000,69,0,00,0,00,2,667,1,333,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dortmund,7,7,1000,73,0,00,3,429,2,286,2,286,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dresden,6,4,667,60,0,00,0,00,3,500,1,167,2,333,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Düsseldorf,16,14,875,69,0,00,4,250,8,500,2,125,2,125,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Erfurt,12,10,833,66,0,00,2,167,5,417,3,250,2,167,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
"Essen, Mülheim an der Ruhr, Oberhausen zu Essen",7,7,1000,65,0,00,0,00,3,429,4,571,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Flensburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Frankfurt am Main,10,10,1000,68,0,00,1,100,4,400,5,500,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Fulda,4,4,1000,63,0,00,0,00,1,250,3,750,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Gießen-Friedberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Halle-Dessau,16,16,1000,70,0,00,4,250,6,375,6,375,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hamburg,10,9,900,68,0,00,2,200,4,400,3,300,1,100,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hanau-Gelnhausen-Schlüchtern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hannover,15,14,933,71,1,67,4,267,4,267,5,333,0,00,1,67,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Heilbronn - Franken,7,7,1000,76,0,00,2,286,5,714,0,00,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Hochrhein-Bodensee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Karlsruhe,10,10,1000,77,0,00,5,500,4,400,1,100,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Kassel-Marburg,6,6,1000,73,0,00,2,333,2,333,2,333,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Kiel,4,4,1000,77,0,00,2,500,1,250,1,250,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Koblenz,5,5,1000,76,0,00,3,600,0,00,2,400,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Köln,15,12,800,67,1,67,4,267,5,333,2,133,2,133,1,67,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Lahn-Dill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Leipzig,14,14,1000,70,0,00,2,143,7,500,5,357,0,00,0,00,"['Gestaltung und Vertrieb von Dienstleistungen', 'Projektmanagement im Dialogmarketing', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
