Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,3,3,1000,82,1,333,0,00,2,667,0,00,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
ArnsbergHellweg-Sauerland,3,3,1000,83,1,333,1,333,1,333,0,00,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Aschaffenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Berlin,50,46,920,70,0,00,10,200,26,520,12,240,1,20,1,20,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bodensee-Oberschwaben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bonn/Rhein-Sieg,4,4,1000,84,0,00,3,750,1,250,0,00,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Braunschweig,5,5,1000,83,1,200,3,600,1,200,0,00,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremen,4,4,1000,72,0,00,1,250,2,500,1,250,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Chemnitz,6,6,1000,79,0,00,2,333,4,667,0,00,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Coburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Cottbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Darmstadt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dortmund,10,9,900,71,0,00,1,100,8,800,1,100,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dresden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Düsseldorf,22,22,1000,79,2,91,7,318,12,545,1,45,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Erfurt,3,3,1000,71,0,00,0,00,2,667,1,333,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
"Essen,MülheimanderRuhr,OberhausenEssen",9,8,889,73,0,00,3,333,5,556,0,00,1,111,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
