Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,30,28,933,66,0,00,4,133,12,400,13,433,1,33,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Arnsberg Hellweg - Sauerland,9,9,1000,68,0,00,0,00,6,667,3,333,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Aschaffenburg,4,4,1000,65,0,00,0,00,2,500,2,500,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Berlin,65,56,862,65,0,00,9,138,27,415,23,354,4,62,2,31,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Bodensee-Oberschwaben,5,5,1000,75,0,00,1,200,3,600,1,200,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Bonn / Rhein-Sieg,8,8,1000,70,0,00,2,250,3,375,3,375,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Braunschweig,9,9,1000,75,0,00,1,111,7,778,1,111,0,00,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Bremen,29,28,966,68,1,34,2,69,16,552,9,310,1,34,0,00,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
Chemnitz,10,9,900,66,0,00,2,200,3,300,4,400,0,00,1,100,"['Sortimentsbewirtschaftung und Vertragsanbahnu', 'Geschäftsprozesse im E-Commerce', 'Kundenkommunikation im E-Commerce', 'Fachgespräch zu einem projektbezogenen Prozes', 'Wirtschafts- und Sozialkunde']"
