Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,83,81,976,75,11,133,27,325,24,289,19,229,1,12,1,12,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Arnsberg Hellweg - Sauerland,26,25,962,82,6,231,12,462,6,231,1,38,1,38,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Aschaffenburg,25,23,920,75,3,120,8,320,6,240,6,240,2,80,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Berlin,441,381,864,68,17,39,109,247,151,342,112,254,38,86,14,32,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bodensee-Oberschwaben,32,32,1000,76,0,00,12,375,15,469,5,156,0,00,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bonn / Rhein-Sieg,113,107,947,74,7,62,43,381,40,354,17,150,4,35,2,18,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Braunschweig,50,47,940,75,3,60,17,340,19,380,8,160,2,40,1,20,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bremen,129,121,938,75,19,147,46,357,33,256,24,186,5,39,2,16,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Chemnitz,54,48,889,75,9,167,18,333,12,222,10,185,4,74,1,19,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Coburg,4,4,1000,87,1,250,3,750,0,00,0,00,0,00,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Cottbus,23,21,913,74,1,43,7,304,9,391,5,217,1,43,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Darmstadt,78,70,897,74,8,103,30,385,24,308,8,103,4,51,4,51,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Dortmund,168,159,946,75,15,89,68,405,53,315,23,137,5,30,4,24,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Dresden,64,61,953,75,5,78,20,313,27,422,10,156,2,31,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Düsseldorf,180,172,956,77,21,117,76,422,50,278,26,144,6,33,1,06,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Erfurt,47,43,915,76,7,149,17,362,11,234,9,191,2,43,1,21,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
"Essen, Mülheim an der Ruhr, Oberhausen zu Essen",161,161,1000,77,15,93,60,373,62,385,24,149,0,00,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Flensburg,75,75,1000,80,8,107,33,440,24,320,10,133,0,00,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Frankfurt am Main,201,181,900,73,10,50,72,358,68,338,40,199,7,35,4,20,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Fulda,14,14,1000,82,4,286,6,429,2,143,2,143,0,00,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Gießen-Friedberg,66,62,939,73,6,91,13,197,34,515,9,136,2,30,2,30,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Halle-Dessau,71,69,972,80,12,169,28,394,21,296,9,127,1,14,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Hamburg,249,238,956,74,28,112,78,313,79,317,53,213,10,40,1,04,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Hanau-Gelnhausen-Schlüchtern,28,27,964,78,5,179,10,357,9,321,3,107,1,36,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Hannover,189,180,952,75,17,90,64,339,67,354,32,169,7,37,2,11,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Heilbronn - Franken,63,62,984,75,3,48,18,286,30,476,11,175,1,16,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Hochrhein-Bodensee,22,20,909,73,0,00,8,364,9,409,4,182,0,00,1,45,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Karlsruhe,51,49,961,75,4,78,17,333,23,451,5,98,0,00,2,39,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Kassel-Marburg,73,72,986,81,14,192,35,479,15,205,8,110,1,14,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
