Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,74,71,959,78,6,81,33,446,27,365,5,68,2,27,1,14,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Arnsberg Hellweg - Sauerland,28,25,893,69,1,36,4,143,11,393,11,393,0,00,1,36,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Aschaffenburg,23,22,957,72,0,00,6,261,12,522,4,174,1,43,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Berlin,213,165,775,63,5,23,37,174,70,329,61,286,25,117,15,70,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Bodensee-Oberschwaben,31,30,968,75,1,32,7,226,16,516,6,194,1,32,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Bonn / Rhein-Sieg,62,56,903,73,1,16,18,290,26,419,16,258,1,16,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Braunschweig,90,87,967,74,3,33,26,289,44,489,16,178,1,11,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Bremen,112,100,893,73,6,54,35,313,42,375,20,179,8,71,1,09,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Chemnitz,56,49,875,72,1,18,15,268,24,429,14,250,1,18,1,18,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Coburg,21,21,1000,86,2,95,15,714,4,190,0,00,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Cottbus,12,7,583,56,0,00,0,00,5,417,4,333,1,83,2,167,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Darmstadt,24,21,875,75,0,00,7,292,11,458,6,250,0,00,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Dortmund,154,142,922,71,8,52,38,247,71,461,28,182,3,19,6,39,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Dresden,79,62,785,67,1,13,12,152,34,430,20,253,12,152,0,00,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
Düsseldorf,88,84,955,74,2,23,31,352,32,364,20,227,2,23,1,11,"['Einrichten eines IT-gestützten Arbeitsplatzes', 'Planen und Umsetzen eines Softwareprojektes', 'Planen eines Softwareproduktes', 'Entwicklung und Umsetzung von Algorithmen', 'Wirtschafts- und Sozialkunde']"
